,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,touros,75.0,BR,1550959200,94.0,-5.2,-35.46,78.8,3.36
1,geraldton,90.0,CA,1550960160,92.0,49.72,-86.95,26.6,4.7
3,hambantota,40.0,LK,1550956200,100.0,6.12,81.12,69.8,1.12
5,avarua,76.0,CK,1550959200,70.0,-21.21,-159.78,84.2,11.41
6,leningradskiy,80.0,RU,1550961893,97.0,69.38,178.42,-5.64,5.95
7,hutchinson,90.0,US,1550959980,83.0,38.06,-97.93,37.4,27.51
8,klaksvik,0.0,FO,1550960400,65.0,62.23,-6.59,44.6,16.11
10,rikitea,92.0,PF,1550961894,100.0,-23.12,-134.97,80.72,10.76
11,ushuaia,75.0,AR,1550959200,64.0,-54.81,-68.31,39.2,16.11
13,bluff,36.0,AU,1550961895,56.0,-23.58,149.07,81.94,6.17
14,albany,75.0,US,1550958840,47.0,42.65,-73.75,37.4,3.36
15,deputatskiy,0.0,RU,1550961673,0.0,69.3,139.9,-45.87,2.71
16,dovbysh,88.0,UA,1550961896,68.0,50.37,27.99,23.21,6.51
17,severo-kurilsk,64.0,RU,1550961857,100.0,50.68,156.12,22.18,14.34
18,mahebourg,0.0,MU,1550961710,93.0,-20.41,57.7,76.09,3.83
19,mataura,76.0,NZ,1550961896,63.0,-46.19,168.86,55.21,13.78
20,nyanza,24.0,RW,1550961897,92.0,-2.35,29.75,56.78,2.82
21,mar del plata,80.0,AR,1550961897,48.0,-46.43,-67.52,57.77,16.46
22,saint-philippe,1.0,CA,1550959200,54.0,45.36,-73.48,32.0,6.93
23,east london,48.0,ZA,1550961898,100.0,-33.02,27.91,73.07,12.66
24,sioux lookout,90.0,CA,1550959380,92.0,50.1,-91.92,26.6,4.7
25,ribeira grande,40.0,PT,1550959200,71.0,38.52,-28.7,57.2,19.46
26,boende,32.0,CD,1550961898,93.0,-0.28,20.88,72.62,2.15
27,barrow,0.0,AR,1550961899,61.0,-38.31,-60.23,63.49,14.9
28,tasiilaq,8.0,GL,1550958600,84.0,65.61,-37.64,32.0,14.99
29,punta arenas,75.0,CL,1550959200,42.0,-53.16,-70.91,46.4,17.22
30,mayo,20.0,CA,1550959200,63.0,63.59,-135.9,-5.81,3.36
32,fort morgan,0.0,US,1550959800,47.0,40.25,-103.8,33.8,21.92
33,kaitangata,92.0,NZ,1550961900,74.0,-46.28,169.85,51.7,14.79
34,hobart,0.0,AU,1550959200,66.0,-42.88,147.33,55.4,9.17
35,torbay,40.0,CA,1550959200,51.0,47.66,-52.73,10.4,18.34
36,daru,0.0,SL,1550961901,50.0,7.99,-10.85,74.2,1.92
37,broome,0.0,GB,1550958960,87.0,52.47,1.45,44.6,8.05
38,taltal,0.0,CL,1550961902,69.0,-25.41,-70.49,65.33,2.48
39,mena,92.0,UA,1550961902,81.0,51.52,32.22,19.43,10.2
40,dikson,80.0,RU,1550961902,90.0,73.51,80.55,3.32,29.55
41,victoria,75.0,BN,1550959200,100.0,5.28,115.24,77.0,2.37
42,port elizabeth,90.0,US,1550959320,86.0,39.31,-74.98,41.0,6.93
44,crestview,75.0,US,1550960280,88.0,30.76,-86.57,77.0,13.87
45,palmer,1.0,US,1550959080,67.0,61.6,-149.11,23.0,3.36
46,yuanping,0.0,CN,1550961904,66.0,38.72,112.71,16.69,1.59
48,apiai,24.0,BR,1550961772,90.0,-24.51,-48.84,73.03,1.92
49,dharchula,68.0,IN,1550961905,69.0,29.85,80.53,30.41,1.81
50,puerto ayora,75.0,EC,1550959200,66.0,-0.74,-90.35,84.2,5.82
52,carutapera,64.0,BR,1550961906,92.0,-1.2,-46.02,78.11,6.51
53,provideniya,92.0,RU,1550961906,94.0,64.42,-173.23,32.66,31.23
55,harlingen,1.0,US,1550960100,57.0,26.19,-97.7,84.2,13.87
57,busselton,8.0,AU,1550961907,100.0,-33.64,115.35,65.29,11.77
58,thompson,90.0,CA,1550959200,71.0,55.74,-97.86,8.6,9.17
60,atuona,0.0,PF,1550961908,100.0,-9.8,-139.03,81.71,15.46
61,terrell,1.0,US,1550960100,20.0,32.74,-96.28,69.8,20.8
62,madimba,64.0,CM,1550961908,87.0,4.42,9.93,78.7,5.17
63,wukari,48.0,NG,1550961909,69.0,7.87,9.78,80.95,10.76
64,hithadhoo,76.0,MV,1550961909,100.0,-0.6,73.08,82.75,8.63
65,khatanga,76.0,RU,1550961909,77.0,71.98,102.47,-7.75,20.83
66,vilcun,0.0,CL,1550959200,55.0,-38.65,-72.23,64.4,14.99
67,bam,36.0,IR,1550961910,76.0,29.11,58.36,36.13,2.71
68,clyde river,5.0,CA,1550959200,75.0,70.47,-68.59,-16.61,3.36
70,georgetown,40.0,GY,1550959200,69.0,6.8,-58.16,82.4,11.41
71,show low,1.0,US,1550960100,55.0,34.25,-110.03,32.0,3.36
72,tortoli,20.0,IT,1550958900,42.0,39.93,9.66,44.6,40.26
74,coquimbo,0.0,CL,1550959200,77.0,-29.95,-71.34,68.0,12.75
75,bubaque,32.0,GW,1550961912,84.0,11.28,-15.83,82.43,13.89
77,bandarbeyla,88.0,SO,1550961913,100.0,9.49,50.81,76.22,11.99
78,waipawa,92.0,NZ,1550961913,100.0,-39.94,176.59,55.61,3.38
79,kodiak,90.0,US,1550960100,86.0,39.95,-94.76,37.4,5.82
80,longyan,100.0,CN,1550961914,99.0,25.1,117.03,46.25,2.15
81,kuito,68.0,AO,1550961914,96.0,-12.38,16.94,60.56,2.93
82,bredasdorp,20.0,ZA,1550959200,78.0,-34.53,20.04,71.6,1.12
83,yulara,0.0,AU,1550959200,17.0,-25.24,130.99,77.0,9.17
84,vaini,0.0,IN,1550961915,65.0,15.34,74.49,63.94,3.04
85,san policarpo,0.0,PH,1550961915,91.0,12.18,125.51,77.3,10.2
86,myingyan,0.0,MM,1550961915,85.0,21.46,95.39,65.38,2.37
87,biu,64.0,NG,1550961915,50.0,10.61,12.19,73.21,3.38
88,la ronge,75.0,CA,1550959200,59.0,55.1,-105.3,1.4,17.22
89,olinda,75.0,EC,1550961300,88.0,-2.03,-79.75,78.8,8.05
90,isangel,68.0,VU,1550961916,100.0,-19.55,169.27,81.58,9.75
91,hofn,0.0,IS,1550961917,89.0,64.25,-15.21,42.43,32.79
92,hasaki,75.0,JP,1550959200,79.0,35.73,140.83,28.4,10.87
93,port alfred,92.0,ZA,1550961917,97.0,-33.59,26.89,69.61,9.53
94,kapaa,1.0,US,1550958960,57.0,22.08,-159.32,78.8,11.41
95,makakilo city,1.0,US,1550959020,65.0,21.35,-158.09,78.8,8.05
96,jamestown,0.0,AU,1550961918,33.0,-33.21,138.6,81.08,10.65
98,angoche,24.0,MZ,1550961919,100.0,-16.23,39.91,80.86,7.4
99,constitucion,75.0,MX,1550958000,3.0,23.99,-104.67,71.6,14.99
100,hobyo,92.0,SO,1550961919,82.0,5.35,48.53,77.66,14.34
101,longyearbyen,75.0,NO,1550958600,73.0,78.22,15.63,21.2,6.93
102,ulaangom,12.0,MN,1550961920,53.0,49.98,92.07,-14.55,1.25
103,hermanus,0.0,ZA,1550961920,99.0,-34.42,19.24,57.68,2.37
104,daura,0.0,NG,1550961921,47.0,13.04,8.32,66.32,5.61
105,sola,0.0,FI,1550960400,90.0,62.78,29.36,32.0,6.93
106,yeppoon,0.0,AU,1550959200,50.0,-23.13,150.74,78.8,10.29
107,bambous virieux,20.0,MU,1550959200,88.0,-20.34,57.76,77.0,3.36
108,tamano,75.0,JP,1550959200,74.0,34.49,133.94,37.4,1.12
110,lebu,75.0,ET,1550959200,63.0,8.96,38.73,62.6,11.41
111,providencia,75.0,CO,1550959200,77.0,1.24,-77.6,68.0,5.82
112,dongsheng,76.0,CN,1550961923,85.0,29.72,112.52,34.37,2.93
113,tombouctou,0.0,ML,1550961924,28.0,16.77,-3.01,60.25,11.43
114,yerkoy,80.0,TR,1550961924,92.0,39.64,34.47,34.37,2.71
115,igunga,44.0,TZ,1550961924,94.0,-4.28,33.88,61.73,2.59
116,muros,0.0,ES,1550959200,87.0,42.77,-9.06,55.4,3.36
117,rio grande,20.0,BR,1550958300,55.0,-32.03,-52.1,89.6,7.4
118,cabedelo,20.0,BR,1550959200,83.0,-6.97,-34.84,80.6,5.82
119,sitka,12.0,US,1550961925,73.0,37.17,-99.65,36.17,25.08
120,macamic,90.0,CA,1550959200,74.0,48.75,-79.0,28.4,4.7
122,vestmannaeyjar,80.0,IS,1550961793,87.0,63.44,-20.27,40.81,21.72
123,gambo,0.0,NG,1550961926,64.0,11.96,9.63,68.75,2.82
125,yerbogachen,68.0,RU,1550961927,77.0,61.28,108.01,16.96,7.4
126,manzanillo,48.0,CU,1550961796,93.0,20.34,-77.12,81.4,7.63
127,alta,88.0,NO,1550960400,65.0,69.97,23.27,44.6,13.87
128,machico,0.0,PT,1550959200,72.0,32.7,-16.77,62.6,5.82
129,husavik,76.0,CA,1550961928,86.0,50.56,-96.99,11.56,5.39
130,tiksi,0.0,RU,1550961806,67.0,71.64,128.87,-15.4,13.78
131,cape town,0.0,ZA,1550959200,94.0,-33.93,18.42,68.0,11.41
134,ixtapa,40.0,MX,1550958060,69.0,20.71,-105.21,75.2,11.41
135,faanui,8.0,PF,1550961929,99.0,-16.48,-151.75,83.56,14.23
137,ginda,64.0,IN,1550961930,71.0,30.69,78.49,29.74,1.81
138,bahia blanca,0.0,AR,1550961930,65.0,-38.72,-62.27,66.77,19.48
139,noyabrsk,64.0,RU,1550961930,88.0,63.2,75.45,19.25,8.75
140,saskylakh,48.0,RU,1550961931,61.0,71.97,114.09,-13.74,17.47
141,airai,0.0,TL,1550961931,68.0,-8.93,125.41,77.93,1.7
